,법정동명,지하철역,버스정류소,서점,골프연습장업,목욕장업,세탁업,영화상영관,제과점영업,체력단련장업,구분없음,대규모점포,대형마트,백화점,복합쇼핑몰,쇼핑센터,시장,병원,약국,의원,치안센터,경찰서,119안전센터,공원수,노래방수,당구장,도서관,박물관미술관,우체국,음식점수,카페수,패스트푸드,경양식,분식,일식,중국식,한식,의료,생활편의시설,교통,쇼핑시설,장보기시설,생활복지시설,여가
22,서린동,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4,0,0,0,1,0,0,0,1,1,43,13,1,4,6,7,1,12,5,0,1,1,1,1,3
23,수송동,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,6,0,1,0,1,0,2,0,2,2,121,12,0,17,6,12,4,52,8,1,0,0,1,3,5
24,중학동,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4,0,6,4,2,0,11,0,1,1,0,0,0,0
25,종로1가,1,4,0,0,0,1,0,3,2,0,0,0,0,1,0,0,0,5,14,0,0,0,0,0,0,0,0,0,98,16,1,11,9,11,5,37,19,1,5,1,3,0,2
26,공평동,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,53,12,0,4,5,3,5,19,2,0,2,1,0,0,1
27,관훈동,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,2,199,31,0,6,15,1,1,154,1,1,1,2,0,2,4
28,견지동,0,5,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,1,1,34,9,1,1,5,0,1,24,6,0,5,0,2,1,3
29,와룡동,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,2,21,10,1,2,0,1,0,12,3,0,5,0,0,2,3
30,권농동,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,30,0,0,4,1,1,0,5,0,2,1,0,1,1,1
31,운니동,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,34,4,0,6,4,0,0,13,0,2,4,0,0,1,1
32,익선동,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,7,2,38,6,5,2,43,0,1,0,0,1,0,0
33,경운동,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,2,0,0,0,22,4,0,0,2,0,0,18,8,0,7,1,0,0,3
34,관철동,0,5,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,3,9,0,1,0,0,18,7,0,0,0,368,18,1,46,31,19,16,138,12,0,5,0,1,1,28
35,인사동,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,161,7,0,15,18,4,2,91,3,3,2,0,0,0,2
36,낙원동,0,1,0,0,3,2,2,4,1,0,2,0,0,0,0,0,0,2,4,0,0,0,0,2,7,0,1,1,229,6,0,19,14,8,4,112,6,5,1,0,6,1,13
37,종로2가,0,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,13,0,1,0,1,1,1,0,0,0,59,23,4,20,4,4,2,15,17,0,6,1,2,1,3
38,팔판동,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,5,1,12,1,0,0,5,0,0,2,0,0,0,0
39,삼청동,0,7,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,100,23,0,34,3,2,2,33,0,0,7,1,1,2,6
40,안국동,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,1,37,13,0,9,3,1,0,13,6,0,3,0,0,1,1
41,소격동,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,1,44,8,0,15,4,2,1,10,3,1,1,0,1,2,2
42,화동,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31,6,0,5,5,1,1,6,0,1,1,0,1,1,1
43,사간동,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,4,0,5,0,1,0,6,0,0,0,1,0,1,1
44,송현동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
45,가회동,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,4,24,13,0,3,5,0,0,6,1,0,8,0,1,5,4
46,재동,0,4,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,74,11,0,11,5,2,1,33,2,1,4,1,2,0,4
47,계동,0,6,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,73,32,0,10,10,3,2,20,3,1,6,1,8,0,1
48,원서동,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,29,6,0,11,1,2,0,7,0,1,3,0,0,2,4
49,훈정동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
